2025-09-18 21:08:09 | INFO     | create_model_logger  | 🚀 Model logger created for openai/gpt-5-nano:azure
2025-09-18 21:08:09 | INFO     | evaluate_model       | 🚀 Starting evaluation for openai/gpt-5-nano:azure
2025-09-18 21:08:09 | INFO     | evaluate_model       | 📊 Total questions: 3 | text_only: True | max_samples: 3
2025-09-18 21:08:09 | INFO     | evaluate_model       | 🔄 Evaluating 3 remaining questions
2025-09-18 21:08:09 | DEBUG    | __enter__            | 🔄 Starting question 668828540a642802bdfeadfc
2025-09-18 21:08:09 | DEBUG    | __enter__            | 🔄 Starting question 668825f80a642802bdfeadfa
2025-09-18 21:08:09 | DEBUG    | __enter__            | 🔄 Starting question 669402b41dcb3d5a1ef9e951
2025-09-18 21:09:26 | DEBUG    | __exit__             | ✅ Completed question 668825f80a642802bdfeadfa in 76.76s
2025-09-18 21:09:35 | DEBUG    | __exit__             | ✅ Completed question 668828540a642802bdfeadfc in 86.07s
2025-09-18 21:11:19 | DEBUG    | __exit__             | ✅ Completed question 669402b41dcb3d5a1ef9e951 in 189.70s
2025-09-18 21:11:19 | WARNING  | evaluate_model       | ⚠️ Incomplete evaluation: 2/3 predictions (1 missing)
2025-09-18 21:11:19 | INFO     | evaluate_model       | 🔄 Will retry missing questions (attempt 2/6)
2025-09-18 21:11:19 | WARNING  | evaluate_model       | 🔄 Retry attempt 1/5
2025-09-18 21:11:19 | INFO     | evaluate_model       | 📂 Loaded 2 existing predictions from hle_openai_gpt-5-nano_azure_20250918_210802.json
2025-09-18 21:11:19 | INFO     | evaluate_model       | 🔄 Evaluating 1 remaining questions
2025-09-18 21:11:19 | DEBUG    | __enter__            | 🔄 Starting question 669402b41dcb3d5a1ef9e951
2025-09-18 21:12:44 | DEBUG    | __exit__             | ✅ Completed question 669402b41dcb3d5a1ef9e951 in 85.11s
2025-09-18 21:12:44 | WARNING  | evaluate_model       | ⚠️ Incomplete evaluation: 2/3 predictions (1 missing)
2025-09-18 21:12:44 | INFO     | evaluate_model       | 🔄 Will retry missing questions (attempt 3/6)
2025-09-18 21:12:44 | WARNING  | evaluate_model       | 🔄 Retry attempt 2/5
2025-09-18 21:12:44 | INFO     | evaluate_model       | 📂 Loaded 2 existing predictions from hle_openai_gpt-5-nano_azure_20250918_210802.json
2025-09-18 21:12:44 | INFO     | evaluate_model       | 🔄 Evaluating 1 remaining questions
2025-09-18 21:12:44 | DEBUG    | __enter__            | 🔄 Starting question 669402b41dcb3d5a1ef9e951
2025-09-18 21:16:47 | DEBUG    | __exit__             | ✅ Completed question 669402b41dcb3d5a1ef9e951 in 243.40s
2025-09-18 21:16:47 | WARNING  | evaluate_model       | ⚠️ Incomplete evaluation: 2/3 predictions (1 missing)
2025-09-18 21:16:47 | INFO     | evaluate_model       | 🔄 Will retry missing questions (attempt 4/6)
2025-09-18 21:16:47 | WARNING  | evaluate_model       | 🔄 Retry attempt 3/5
2025-09-18 21:16:47 | INFO     | evaluate_model       | 📂 Loaded 2 existing predictions from hle_openai_gpt-5-nano_azure_20250918_210802.json
2025-09-18 21:16:47 | INFO     | evaluate_model       | 🔄 Evaluating 1 remaining questions
2025-09-18 21:16:47 | DEBUG    | __enter__            | 🔄 Starting question 669402b41dcb3d5a1ef9e951
2025-09-18 21:20:14 | DEBUG    | __exit__             | ✅ Completed question 669402b41dcb3d5a1ef9e951 in 206.44s
2025-09-18 21:20:14 | WARNING  | evaluate_model       | ⚠️ Incomplete evaluation: 2/3 predictions (1 missing)
2025-09-18 21:20:14 | INFO     | evaluate_model       | 🔄 Will retry missing questions (attempt 5/6)
2025-09-18 21:20:14 | WARNING  | evaluate_model       | 🔄 Retry attempt 4/5
2025-09-18 21:20:14 | INFO     | evaluate_model       | 📂 Loaded 2 existing predictions from hle_openai_gpt-5-nano_azure_20250918_210802.json
2025-09-18 21:20:14 | INFO     | evaluate_model       | 🔄 Evaluating 1 remaining questions
2025-09-18 21:20:14 | DEBUG    | __enter__            | 🔄 Starting question 669402b41dcb3d5a1ef9e951
2025-09-18 21:21:04 | DEBUG    | __exit__             | ✅ Completed question 669402b41dcb3d5a1ef9e951 in 49.68s
2025-09-18 21:21:04 | INFO     | evaluate_model       | ✅ Evaluation complete: 3/3 predictions
2025-09-18 21:21:04 | INFO     | evaluate_model       | ✅ Completed evaluation
2025-09-18 21:21:04 | INFO     | evaluate_model       | 📝 Final predictions: 3
2025-09-18 21:21:04 | INFO     | evaluate_model       | 📁 Saved to: results/20250918_210802/predictions/hle_openai_gpt-5-nano_azure_20250918_210802.json
