2025-09-18 21:08:09 | INFO     | create_model_logger  | 🚀 Model logger created for deepseek/deepseek-r1-0528:theta
2025-09-18 21:08:09 | INFO     | evaluate_model       | 🚀 Starting evaluation for deepseek/deepseek-r1-0528:theta
2025-09-18 21:08:09 | INFO     | evaluate_model       | 📊 Total questions: 3 | text_only: True | max_samples: 3
2025-09-18 21:08:09 | INFO     | evaluate_model       | 🔄 Evaluating 3 remaining questions
2025-09-18 21:08:09 | DEBUG    | __enter__            | 🔄 Starting question 668825f80a642802bdfeadfa
2025-09-18 21:08:09 | DEBUG    | __enter__            | 🔄 Starting question 669402b41dcb3d5a1ef9e951
2025-09-18 21:08:09 | DEBUG    | __enter__            | 🔄 Starting question 668828540a642802bdfeadfc
2025-09-18 21:08:51 | DEBUG    | __exit__             | ✅ Completed question 668825f80a642802bdfeadfa in 41.94s
2025-09-18 21:09:59 | DEBUG    | __exit__             | ✅ Completed question 668828540a642802bdfeadfc in 109.80s
2025-09-18 21:10:57 | DEBUG    | __exit__             | ✅ Completed question 669402b41dcb3d5a1ef9e951 in 167.80s
2025-09-18 21:10:57 | WARNING  | evaluate_model       | ⚠️ Incomplete evaluation: 2/3 predictions (1 missing)
2025-09-18 21:10:57 | INFO     | evaluate_model       | 🔄 Will retry missing questions (attempt 2/6)
2025-09-18 21:10:57 | WARNING  | evaluate_model       | 🔄 Retry attempt 1/5
2025-09-18 21:10:57 | INFO     | evaluate_model       | 📂 Loaded 2 existing predictions from hle_deepseek_deepseek-r1-0528_theta_20250918_210802.json
2025-09-18 21:10:57 | INFO     | evaluate_model       | 🔄 Evaluating 1 remaining questions
2025-09-18 21:10:57 | DEBUG    | __enter__            | 🔄 Starting question 669402b41dcb3d5a1ef9e951
2025-09-18 21:13:33 | DEBUG    | __exit__             | ✅ Completed question 669402b41dcb3d5a1ef9e951 in 155.69s
2025-09-18 21:13:33 | WARNING  | evaluate_model       | ⚠️ Incomplete evaluation: 2/3 predictions (1 missing)
2025-09-18 21:13:33 | INFO     | evaluate_model       | 🔄 Will retry missing questions (attempt 3/6)
2025-09-18 21:13:33 | WARNING  | evaluate_model       | 🔄 Retry attempt 2/5
2025-09-18 21:13:33 | INFO     | evaluate_model       | 📂 Loaded 2 existing predictions from hle_deepseek_deepseek-r1-0528_theta_20250918_210802.json
2025-09-18 21:13:33 | INFO     | evaluate_model       | 🔄 Evaluating 1 remaining questions
2025-09-18 21:13:33 | DEBUG    | __enter__            | 🔄 Starting question 669402b41dcb3d5a1ef9e951
2025-09-18 21:16:03 | DEBUG    | __exit__             | ✅ Completed question 669402b41dcb3d5a1ef9e951 in 150.32s
2025-09-18 21:16:03 | WARNING  | evaluate_model       | ⚠️ Incomplete evaluation: 2/3 predictions (1 missing)
2025-09-18 21:16:03 | INFO     | evaluate_model       | 🔄 Will retry missing questions (attempt 4/6)
2025-09-18 21:16:03 | WARNING  | evaluate_model       | 🔄 Retry attempt 3/5
2025-09-18 21:16:03 | INFO     | evaluate_model       | 📂 Loaded 2 existing predictions from hle_deepseek_deepseek-r1-0528_theta_20250918_210802.json
2025-09-18 21:16:03 | INFO     | evaluate_model       | 🔄 Evaluating 1 remaining questions
2025-09-18 21:16:03 | DEBUG    | __enter__            | 🔄 Starting question 669402b41dcb3d5a1ef9e951
2025-09-18 21:18:49 | DEBUG    | __exit__             | ✅ Completed question 669402b41dcb3d5a1ef9e951 in 166.29s
2025-09-18 21:18:49 | WARNING  | evaluate_model       | ⚠️ Incomplete evaluation: 2/3 predictions (1 missing)
2025-09-18 21:18:49 | INFO     | evaluate_model       | 🔄 Will retry missing questions (attempt 5/6)
2025-09-18 21:18:49 | WARNING  | evaluate_model       | 🔄 Retry attempt 4/5
2025-09-18 21:18:49 | INFO     | evaluate_model       | 📂 Loaded 2 existing predictions from hle_deepseek_deepseek-r1-0528_theta_20250918_210802.json
2025-09-18 21:18:49 | INFO     | evaluate_model       | 🔄 Evaluating 1 remaining questions
2025-09-18 21:18:49 | DEBUG    | __enter__            | 🔄 Starting question 669402b41dcb3d5a1ef9e951
2025-09-18 21:21:28 | DEBUG    | __exit__             | ✅ Completed question 669402b41dcb3d5a1ef9e951 in 158.58s
2025-09-18 21:21:28 | INFO     | evaluate_model       | ✅ Evaluation complete: 3/3 predictions
2025-09-18 21:21:28 | INFO     | evaluate_model       | ✅ Completed evaluation
2025-09-18 21:21:28 | INFO     | evaluate_model       | 📝 Final predictions: 3
2025-09-18 21:21:28 | INFO     | evaluate_model       | 📁 Saved to: results/20250918_210802/predictions/hle_deepseek_deepseek-r1-0528_theta_20250918_210802.json
